"";"R";"U";"T";"Rg";"X1.T"
"1";887;1e-04;300,439024390244;8870;0,00332846241272934
"2";691;0,00025;304,09756097561;6910;0,0032884183509785
"3";528;4e-04;307,756097560976;5280;0,00324932635916944
"4";413;0,00055;311,414634146341;4130;0,00321115288220551
"5";323;7e-04;315,073170731707;3230;0,00317386592351757
"6";259;0,00085;318,731707317073;2590;0,00313743495561677
"7";213;0,001;322,390243902439;2130;0,00310183083673778
"8";177;0,00115;326,048780487805;1770;0,00306702573309396
"9";149;0,0013;329,707317073171;1490;0,00303299304630863
"10";126;0,00145;333,365853658537;1260;0,00299970734562482
"11";106;0,0016;337,024390243902;1060;0,00296714430453032
"12";81;0,0019;344,341463414634;810;0,00290409406431506
"13";74;0,002;346,780487804878;740;0,00288366858911239
"14";68;0,0021;349,219512195122;680;0,00286352842575779
"15";64;0,0022;351,658536585366;640;0,00284366763767513
